epoch,accuracy,loss,val_accuracy,val_loss
0,0.3541666567325592,1.9902070760726929,0.25,6.492955207824707
1,0.4053819477558136,1.6466774940490723,0.25,12.902021408081055
2,0.4036458432674408,1.6276112794876099,0.2421875,8.670806884765625
3,0.4288194477558136,1.4666740894317627,0.25,4.884033679962158
4,0.4444444477558136,1.3633782863616943,0.25,2.4272754192352295
5,0.4835069477558136,1.2784912586212158,0.25,3.333801031112671
6,0.4852430522441864,1.2409577369689941,0.2734375,2.5825259685516357
7,0.5078125,1.1893151998519897,0.3359375,2.697575807571411
8,0.5112847089767456,1.1660072803497314,0.390625,2.156891345977783
9,0.5555555820465088,1.0817526578903198,0.375,1.7105008363723755
10,0.5685763955116272,1.0087499618530273,0.390625,1.9831349849700928
11,0.5529513955116272,1.0426421165466309,0.2578125,3.923654317855835
12,0.5581597089767456,1.0329806804656982,0.4140625,1.3654719591140747
13,0.5998263955116272,0.9501607418060303,0.421875,1.5017480850219727
14,0.6111111044883728,0.9325923919677734,0.515625,1.1604561805725098
15,0.6076388955116272,0.8947932720184326,0.4140625,1.4723418951034546
16,0.6267361044883728,0.8774869441986084,0.4765625,1.4518749713897705
17,0.6189236044883728,0.932063639163971,0.359375,2.441671371459961
18,0.6206597089767456,0.908568263053894,0.515625,1.1837904453277588
19,0.6145833134651184,0.9381126761436462,0.25,11.850353240966797
20,0.5095486044883728,1.1361002922058105,0.484375,1.5583081245422363
21,0.5729166865348816,0.9927467703819275,0.4609375,1.2471468448638916
22,0.5946180820465088,0.9519495368003845,0.5,1.1499121189117432
23,0.6197916865348816,0.9299753904342651,0.5078125,1.0996267795562744
24,0.6223958134651184,0.8984394073486328,0.4140625,1.5719270706176758
25,0.6458333134651184,0.8520890474319458,0.4296875,1.7158228158950806
26,0.65625,0.8334486484527588,0.515625,1.2049987316131592
27,0.6371527910232544,0.8401955962181091,0.25,4.181801795959473
28,0.6519097089767456,0.8624195456504822,0.421875,1.6034095287322998
29,0.6597222089767456,0.8095566630363464,0.53125,1.2490679025650024
30,0.6440972089767456,0.8237419724464417,0.5,1.1628116369247437
31,0.6770833134651184,0.7951728105545044,0.4765625,1.5176777839660645
32,0.6666666865348816,0.8182556629180908,0.546875,1.3758105039596558
33,0.6848958134651184,0.7788622975349426,0.453125,1.4206597805023193
34,0.7109375,0.7417502403259277,0.515625,1.4756667613983154
35,0.6909722089767456,0.7229768633842468,0.3203125,2.219369411468506
36,0.7039930820465088,0.7448572516441345,0.390625,1.495039701461792
37,0.7013888955116272,0.7159825563430786,0.421875,1.3332529067993164
38,0.7126736044883728,0.7184455394744873,0.546875,1.0331158638000488
39,0.7144097089767456,0.6982674598693848,0.40625,1.6374937295913696
