,precision,recall,f1-score,support
glioma,0.7647058823529411,0.1625,0.26804123711340205,80.0
meningioma,0.508086,0.606,0.344444,80.0
notumor,0.6571428571428571,0.8625,0.745945945945946,80.0
pituitary,0.40404040404040403,1.0,0.5755395683453237,80.0
accuracy,0.50625,0.50625,0.50625,0.50625
macro avg,0.45647228588405053,0.5062500000000001,0.39738168785116795,320.0
weighted avg,0.4564722858840506,0.50625,0.3973816878511679,320.0
