,precision,recall,f1-score,support
glioma,0.29838709677419356,0.4625,0.3627450980392157,80.0
meningioma,0.23529411764705882,0.05,0.08247422680412371,80.0
pituitary,0.9047619047619048,0.2375,0.37623762376237624,80.0
notumor,0.33544303797468356,0.6625,0.44537815126050423,80.0
accuracy,0.353125,0.353125,0.353125,0.353125
macro avg,0.44347153928946015,0.353125,0.316708774966555,320.0
weighted avg,0.4434715392894601,0.353125,0.316708774966555,320.0
