epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5899999737739563,9.999999747378752e-05,0.8840797543525696,0.5,1.0999178886413574
1,0.6151852011680603,9.999999747378752e-05,0.8110257387161255,0.5333333611488342,1.3035365343093872
2,0.6370370388031006,9.999999747378752e-05,0.7653224468231201,0.5933333039283752,0.8245722055435181
3,0.644444465637207,9.999999747378752e-05,0.7441299557685852,0.6466666460037231,0.8553024530410767
4,0.6625925898551941,9.999999747378752e-05,0.6931514739990234,0.6633333563804626,0.7454081773757935
5,0.6662963032722473,9.999999747378752e-05,0.7009941339492798,0.6200000047683716,1.0552222728729248
6,0.6929629445075989,9.999999747378752e-05,0.6543599963188171,0.6633333563804626,0.8286637663841248
7,0.6962962746620178,9.999999747378752e-05,0.629888653755188,0.8266666531562805,0.49836745858192444
8,0.7222222089767456,9.999999747378752e-05,0.5948655605316162,0.7833333611488342,0.565151035785675
9,0.7270370125770569,9.999999747378752e-05,0.5792375206947327,0.699999988079071,0.7939780950546265
10,0.7451851963996887,9.999999747378752e-05,0.5538274645805359,0.846666693687439,0.47632452845573425
11,0.7514814734458923,9.999999747378752e-05,0.5490987300872803,0.6966666579246521,1.0691637992858887
12,0.7477777600288391,9.999999747378752e-05,0.5520759224891663,0.846666693687439,0.796979546546936
13,0.7522222399711609,9.999999747378752e-05,0.5409833192825317,0.5699999928474426,1.8242045640945435
14,0.7688888907432556,9.999999747378752e-05,0.5019798278808594,0.7300000190734863,0.9701830148696899
15,0.7711111307144165,9.999999747378752e-05,0.4891870617866516,0.800000011920929,0.44031646847724915
16,0.7970370650291443,9.999999747378752e-05,0.45619627833366394,0.7699999809265137,0.5352224707603455
17,0.7933333516120911,9.999999747378752e-05,0.4675220549106598,0.5733333230018616,1.0163178443908691
18,0.8225926160812378,9.999999747378752e-05,0.4267679452896118,0.6666666865348816,1.1762959957122803
19,0.8185185194015503,9.999999747378752e-05,0.42112842202186584,0.75,0.6858851313591003
20,0.8059259057044983,9.999999747378752e-05,0.437774658203125,0.8600000143051147,0.3289567530155182
21,0.8159258961677551,9.999999747378752e-05,0.4277239441871643,0.7599999904632568,0.5379133820533752
22,0.8244444727897644,9.999999747378752e-05,0.4058581590652466,0.6366666555404663,1.0622025728225708
23,0.8370370268821716,9.999999747378752e-05,0.3907463848590851,0.653333306312561,0.9401635527610779
24,0.8281481266021729,9.999999747378752e-05,0.4109684228897095,0.7200000286102295,1.0051449537277222
25,0.8407407402992249,9.999999747378752e-05,0.36725324392318726,0.8600000143051147,0.40616652369499207
26,0.8607407212257385,4.999999873689376e-05,0.3422340452671051,0.7866666913032532,0.4790512025356293
27,0.8566666841506958,4.999999873689376e-05,0.3407660126686096,0.7900000214576721,0.4695286452770233
28,0.864814817905426,4.999999873689376e-05,0.33569711446762085,0.8066666722297668,0.4925594627857208
